iter	RMSE
0	3888.795968
1	3778.198669
2	3670.842852
3	3566.839251
4	3464.562003
5	3365.60622
6	3271.223962
7	3178.111914
8	3088.058368
9	3001.857347
10	2917.154327
11	2833.672974
12	2753.107245
13	2675.309453
14	2598.924536
15	2525.22498
16	2452.95235
17	2383.31866
18	2316.276084
19	2252.477293
20	2187.97813
21	2127.983383
22	2068.040261
23	2009.827764
24	1953.660038
25	1900.255949
26	1847.03392
27	1793.791832
28	1744.655967
29	1695.67493
30	1647.407314
31	1602.884173
32	1558.532956
33	1515.111718
34	1472.360848
35	1431.003091
36	1391.424366
37	1352.468058
38	1314.478822
39	1278.08536
40	1242.625206
41	1207.713627
42	1173.98529
43	1141.514514
44	1109.568534
45	1078.406081
46	1049.181868
47	1020.643311
48	992.6037414
49	966.5248993
50	940.1433628
51	914.8956028
52	889.3542552
53	864.8455068
54	841.1850452
55	818.5642535
56	796.061043
57	774.8319234
58	753.9421813
59	733.7009394
60	714.3124368
61	695.5251712
62	676.6322819
63	658.4031221
64	640.4607135
65	623.9427987
66	607.3392662
67	591.3455506
68	575.6314999
69	560.5565492
70	545.9407149
71	531.9668992
72	518.3926135
73	505.2448645
74	492.2326087
75	479.9991149
76	467.971851
77	456.318696
78	445.2298097
79	434.0201608
80	423.3011427
81	412.8335767
82	402.6684728
83	392.6729828
84	383.4617106
85	374.2357304
86	365.1779262
87	356.3210179
88	347.9302866
89	339.7257104
90	331.5646892
91	323.8514314
92	316.6064856
93	309.2894323
94	302.2539417
95	295.6064811
96	288.925458
97	282.695726
98	276.6057609
99	270.5944257
100	264.7223943
101	259.1807885
102	253.7212383
103	248.4955827
104	243.4845063
105	238.4587848
106	233.5682433
107	229.014509
108	224.4890982
109	220.1514174
110	215.8222967
111	211.7590357
112	207.8356888
113	203.9273138
114	200.2770642
115	196.607172
116	193.0900651
117	189.7970592
118	186.5868215
119	183.3406704
120	180.4316909
121	177.4190819
122	174.553834
123	171.8350609
124	169.2000184
125	166.6034406
126	164.1290867
127	161.5289705
128	158.9894035
129	156.6465305
130	154.3240002
131	152.2475796
132	150.0640585
133	147.9328245
134	145.812645
135	143.7899614
