iter	Passed	Remaining
0	27	13844
1	41	10290
2	53	8853
3	67	8362
4	82	8119
5	98	8080
6	113	7997
7	128	7927
8	145	7924
9	160	7854
10	173	7723
11	188	7677
12	201	7554
13	216	7505
14	231	7491
15	246	7465
16	262	7444
17	275	7382
18	289	7324
19	305	7320
20	316	7225
21	330	7176
22	345	7156
23	359	7131
24	374	7119
25	387	7062
26	398	6985
27	414	6979
28	427	6947
29	441	6917
30	454	6879
31	466	6823
32	479	6781
33	492	6751
34	505	6718
35	518	6681
36	529	6628
37	543	6608
38	557	6585
39	570	6561
40	582	6524
41	596	6505
42	608	6471
43	621	6441
44	633	6400
45	644	6357
46	655	6317
47	666	6279
48	678	6242
49	689	6203
50	700	6168
51	711	6129
52	724	6110
53	735	6077
54	747	6048
55	759	6021
56	772	6002
57	787	5998
58	802	5994
59	814	5970
60	827	5954
61	840	5939
62	853	5921
63	866	5905
64	880	5889
65	892	5866
66	904	5848
67	917	5826
68	929	5803
69	940	5775
70	952	5754
71	965	5740
72	980	5737
73	993	5720
74	1005	5699
75	1019	5685
76	1032	5671
77	1045	5657
78	1058	5642
79	1071	5624
80	1084	5609
81	1099	5603
82	1113	5592
83	1126	5576
84	1138	5559
85	1152	5546
86	1164	5527
87	1176	5508
88	1187	5484
89	1199	5462
90	1210	5442
91	1222	5422
92	1233	5399
93	1244	5376
94	1256	5356
95	1268	5338
96	1280	5318
97	1296	5319
98	1310	5309
99	1324	5296
100	1337	5282
101	1351	5272
102	1365	5263
103	1379	5251
104	1393	5240
105	1406	5227
106	1418	5209
107	1432	5200
108	1446	5189
109	1460	5177
110	1474	5168
111	1488	5156
112	1501	5143
113	1515	5130
114	1527	5112
115	1538	5094
116	1549	5073
117	1560	5052
118	1576	5048
119	1591	5040
120	1606	5033
121	1620	5021
122	1641	5030
123	1655	5021
124	1669	5008
125	1683	4996
126	1697	4985
127	1711	4974
128	1791	5152
129	1823	5188
130	1856	5229
131	1869	5210
132	1880	5188
133	1893	5172
134	1907	5158
135	1920	5139
136	1932	5119
137	1944	5100
138	1959	5088
139	1971	5070
140	1985	5054
141	1996	5034
142	2011	5022
143	2025	5006
144	2037	4988
145	2051	4973
146	2063	4954
147	2075	4936
148	2088	4918
149	2100	4901
150	2112	4881
151	2124	4864
152	2136	4846
153	2149	4828
154	2161	4811
155	2174	4794
156	2185	4775
157	2198	4759
158	2210	4740
159	2222	4722
160	2233	4702
161	2244	4682
162	2255	4663
163	2266	4643
164	2280	4629
165	2291	4609
166	2303	4594
167	2314	4574
168	2325	4554
169	2337	4537
170	2348	4519
171	2360	4501
172	2371	4482
173	2382	4464
174	2393	4444
175	2404	4426
176	2415	4408
177	2427	4390
178	2437	4371
179	2448	4353
180	2460	4336
181	2471	4317
182	2482	4299
183	2493	4282
184	2504	4265
185	2516	4247
186	2527	4230
187	2539	4213
188	2550	4196
189	2563	4181
190	2574	4164
191	2584	4146
192	2595	4128
193	2606	4110
194	2616	4093
195	2627	4075
196	2638	4058
197	2649	4041
198	2660	4024
199	2671	4006
200	2681	3989
201	2691	3971
202	2703	3954
203	2713	3937
204	2724	3919
205	2735	3903
206	2746	3887
207	2758	3872
208	2771	3858
209	2783	3843
210	2795	3828
211	2806	3812
212	2817	3795
213	2829	3780
214	2839	3764
215	2851	3748
216	2862	3733
217	2873	3716
218	2884	3701
219	2894	3684
220	2905	3667
221	2916	3652
222	2927	3636
223	2937	3619
224	2949	3605
225	2961	3590
226	2971	3573
227	2982	3557
228	2993	3541
229	3003	3526
230	3014	3510
231	3025	3495
232	3036	3480
233	3048	3464
234	3059	3449
235	3070	3435
236	3081	3419
237	3093	3405
238	3103	3389
239	3114	3374
240	3125	3359
241	3137	3344
242	3148	3329
243	3160	3316
244	3172	3302
245	3183	3287
246	3196	3274
247	3208	3260
248	3221	3247
249	3238	3238
250	3252	3226
251	3264	3212
252	3278	3200
253	3292	3188
254	3307	3177
255	3327	3171
256	3355	3172
257	3389	3179
258	3425	3187
259	3456	3190
260	3492	3198
261	3523	3200
262	3544	3193
263	3571	3192
264	3592	3185
265	3615	3180
266	3640	3176
267	3659	3168
268	3686	3166
269	3709	3159
270	3726	3149
271	3751	3144
272	3773	3137
273	3792	3127
274	3813	3119
275	3833	3110
276	3851	3100
277	3869	3090
278	3889	3081
279	3911	3073
280	3929	3062
281	3947	3051
282	3969	3043
283	3988	3033
284	4006	3022
285	4029	3015
286	4056	3010
287	4088	3009
288	4118	3006
289	4146	3002
